president,speech_label,matched_title,document_date,document_type,block_idx,block_size,sentence_start,sentence_end,text,n_sentences,n_words,care_p,fairness_p,loyalty_p,authority_p,sanctity_p,care_sent,fairness_sent,loyalty_sent,authority_sent,sanctity_sent,moral_nonmoral_ratio,f_var,sent_var,moral_vector_R5,cosine_gonye,cosine_pergel,cosine_yasa,cosine_gpy_sum_vector,delta_vector_discriminant
Dwight D. Eisenhower,Farewell Address,421  - Farewell Radio and Television Address to the American People,1961-01-17,Oral,0,2,0,1,"My fellow Americans: Three days from now, after half a century in the service of our country, I shall lay down the responsibilities of office as, in traditional and solemn ceremony, the authority of the Presidency is vested in my successor. This evening I come to you with a message of leave-taking and farewell, and to share a few final thoughts with you, my countrymen.",2,65,0.0914876874083683,0.09320529143992867,0.11060421526269648,0.12207000341399118,0.08614786464894549,0.014649498310392424,0.023234861825969944,0.03291707009933678,0.05948949259723559,0.013183505379163043,1.3333333333333333,0.0002268931208679403,0.00035845558553601164,"[0.0914876874083683, 0.09320529143992867, 0.11060421526269648, 0.12207000341399118, 0.08614786464894549]",0.7175985214143347,0.8150768829155107,0.8374548553846489,0.9649828574858016,-0.0012042332687734747
Dwight D. Eisenhower,Farewell Address,421  - Farewell Radio and Television Address to the American People,1961-01-17,Oral,1,2,2,3,"Like every other citizen, I wish the new President, and all who will labor with him, Godspeed. I pray that the coming years will be blessed with peace and prosperity for all.",2,32,0.08757777015620968,0.08493653648984124,0.08308106206839967,0.08543014970644067,0.06979480921095454,0.03607507524933366,0.13162985644262354,0.17515619083989775,0.2030934494406303,0.13494158366755793,1.6,5.037537084707154e-05,0.004009946651554464,"[0.08757777015620968, 0.08493653648984124, 0.08308106206839967, 0.08543014970644067, 0.06979480921095454]",0.7848794359434869,0.8100788134136908,0.7676198461227026,0.9618945824325149,-0.0011276314728516645
Dwight D. Eisenhower,Farewell Address,421  - Farewell Radio and Television Address to the American People,1961-01-17,Oral,2,2,4,5,"Our people expect their President and the Congress to find essential agreement on issues of great moment, the wise resolution of which will better shape the future of the Nation. My own relations with the Congress, which began on a remote and tenuous basis when, long ago, a member of the Senate appointed me to West Point, have since ranged to the intimate during the war and immediate post-war period, and, finally, to the mutually interdependent during these past eight years.",2,81,0.08702706121072314,0.08437970260886905,0.0858687527819175,0.09767371811329528,0.0692105687430338,-0.027367496259623928,-0.05434644593751084,0.017857360051854922,-0.0015327446146224924,0.01949280316268389,2.6363636363636362,0.00010375914039734746,0.0009956054627779224,"[0.08702706121072314, 0.08437970260886905, 0.0858687527819175, 0.09767371811329528, 0.0692105687430338]",0.7679249819166333,0.820779878361962,0.7962722938244515,0.9710315585597644,-0.0009478599839772006
Dwight D. Eisenhower,Farewell Address,421  - Farewell Radio and Television Address to the American People,1961-01-17,Oral,3,2,6,7,"In this final relationship, the Congress and the Administration have, on most vital issues, cooperated well, to serve the national good rather than mere partisanship, and so have assured that the business of the Nation should go forward. So, my official relationship with the Congress ends in a feeling, on my part, of gratitude that we have been able to do so much together.",2,64,0.08998850673403767,0.08574456013597259,0.09617380274369053,0.09677604605710081,0.09636441894351434,0.08303699516026779,0.10060741445137787,0.05001038807769436,0.027494133355046812,0.06538501438166476,2.8333333333333335,2.434022842674858e-05,0.000806069323763531,"[0.08998850673403767, 0.08574456013597259, 0.09617380274369053, 0.09677604605710081, 0.09636441894351434]",0.7254837168390293,0.7837998129213503,0.7991948491408853,0.9398229519426026,-0.002130011045891632
Dwight D. Eisenhower,Farewell Address,421  - Farewell Radio and Television Address to the American People,1961-01-17,Oral,4,2,8,9,II. We now stand ten years past the midpoint of a century that has witnessed four major wars among great nations.,2,21,0.10522505260864158,0.07970791173319662,0.08766589327870337,0.07707076347689626,0.0782974760362115,-0.14331493032030626,-0.07729734863600611,-0.045554218921439515,-0.16332720035633302,-0.08157266019005148,1.75,0.0001375504561159432,0.0024203362361376857,"[0.10522505260864158, 0.07970791173319662, 0.08766589327870337, 0.07707076347689626, 0.0782974760362115]",0.8053087886594879,0.7472946911890509,0.7369993606070593,0.9319629416153895,-0.004488323144436278
Dwight D. Eisenhower,Farewell Address,421  - Farewell Radio and Television Address to the American People,1961-01-17,Oral,5,2,10,11,"Three of these involved our own country. Despite these holocausts America is today the strongest, the most influential and most productive nation in the world.",2,25,0.11333859480965373,0.10074405637936693,0.129582020072026,0.11832008077019456,0.10474089938013556,-0.08891206329770217,0.010591478111165752,0.01654900874468195,0.0022165536304134745,0.008926507134840497,0.5714285714285714,0.00013030165450951387,0.00196583760464179,"[0.11333859480965373, 0.10074405637936693, 0.129582020072026, 0.11832008077019456, 0.10474089938013556]",0.7348225883023047,0.7733412296167611,0.8107657630496997,0.9439958839386339,-0.005419473425481436
Dwight D. Eisenhower,Farewell Address,421  - Farewell Radio and Television Address to the American People,1961-01-17,Oral,6,2,12,13,"Understandably proud of this pre-eminence, we yet realize that America's leadership and prestige depend, not merely upon our unmatched material progress, riches and military strength, but on how we use our power in the interests of world peace and human betterment. III.",2,42,0.1145333255101175,0.11813734757288288,0.11750641855021136,0.11551192462308964,0.11045248072724054,0.07825231795978484,0.15386557794217454,0.10288127620612177,0.14675327203342323,0.19023764828738515,1.4,9.256066026145503e-06,0.001948836787318062,"[0.1145333255101175, 0.11813734757288288, 0.11750641855021136, 0.11551192462308964, 0.11045248072724054]",0.7565575423046214,0.8040317269190145,0.7730694971825837,0.9501429202271195,-0.001515097295479037
Dwight D. Eisenhower,Farewell Address,421  - Farewell Radio and Television Address to the American People,1961-01-17,Oral,7,2,14,15,"Throughout America's adventure in free government, our basic purposes have been to keep the peace; to foster progress in human achievement, and to enhance liberty, dignity and integrity among people and among nations. To strive for less would be unworthy of a free and religious people.",2,46,0.13426299654439908,0.1499166528626673,0.11265075522373345,0.1196178441005278,0.13242537638474705,0.2108584257538478,0.14585713589179763,0.14922208038363988,0.22750171759742913,0.24449133693859426,2.142857142857143,0.0002073150906872928,0.0020665412417075982,"[0.13426299654439908, 0.1499166528626673, 0.11265075522373345, 0.1196178441005278, 0.13242537638474705]",0.7821037387952098,0.8170588639504117,0.7143883163690168,0.9420731452027038,0.0024004091738226846
Dwight D. Eisenhower,Farewell Address,421  - Farewell Radio and Television Address to the American People,1961-01-17,Oral,8,2,16,17,"Any failure traceable to arrogance, or our lack of comprehension or readiness to sacrifice would inflict upon us grievous hurt both at home and abroad. Progress toward these noble goals is persistently threatened by the conflict now engulfing the world.",2,40,0.17505254487509211,0.11860731201764821,0.1200077486718508,0.1275534333085185,0.10270150261851545,-0.19731320801653734,-0.18969069257355545,-0.19626305779637768,-0.25091917164381466,-0.1359971100889851,1.0,0.0007507941933172232,0.0016596973829263225,"[0.17505254487509211, 0.11860731201764821, 0.1200077486718508, 0.1275534333085185, 0.10270150261851545]",0.8416105231675322,0.7514082219954001,0.7229089473195598,0.9426522588419576,-0.01130798910291047
Dwight D. Eisenhower,Farewell Address,421  - Farewell Radio and Television Address to the American People,1961-01-17,Oral,9,2,18,19,"It commands our whole attention, absorbs our very beings. We face a hostile ideology--global in scope, atheistic in character, ruthless in purpose, and insidious in method.",2,26,0.1288763990467193,0.14472560935261555,0.11419771685051143,0.12078452086275163,0.136626681072544,-0.15229717156319292,-0.11358983974358974,-0.07943530979437227,-0.17141541666666665,0.038160217463192994,1.1428571428571428,0.0001480172791814332,0.006859801820227648,"[0.1288763990467193, 0.14472560935261555, 0.11419771685051143, 0.12078452086275163, 0.136626681072544]",0.7644436710810253,0.8128809086755764,0.728796552052048,0.9390385255181681,0.0019496437545269418
