component,explained_variance_ratio,explained_variance
PC1,0.3215270701048237,1.607640905376388
PC2,0.24167073421807664,1.2083578463071887
PC3,0.19676252926799834,0.983816045701613
PC4,0.19148891034318097,0.9574478599680154
PC5,0.048550756065920526,0.24275461911520613
