feature,mean,scale,var
care_p,0.042292868612013645,0.017350726210549037,0.0003010477000334334
fairness_p,0.034381346212408195,0.01437102430426918,0.0002065263395538955
loyalty_p,0.024460816076052976,0.01157246382713013,0.00013392191903023533
authority_p,0.03020924047273361,0.014966183621920608,0.00022398665220504466
sanctity_p,0.009623584235852165,0.007583665274579944,5.7511978996869695e-05
