component,corr_after_sign_alignment,mae_vs_existing_seg_PC
PC1,1.0,3.187807443509477e-15
PC2,1.0,3.0886877272924634e-15
PC3,0.9999999999999999,3.468950218204545e-15
PC4,0.9999999999999999,4.177192322744376e-15
PC5,1.0,1.7610414653733302e-15
