president,speech_label,matched_title,document_date,document_type,block_idx,block_size,sentence_start,sentence_end,text,n_sentences,n_words,care_p,fairness_p,loyalty_p,authority_p,sanctity_p,care_sent,fairness_sent,loyalty_sent,authority_sent,sanctity_sent,moral_nonmoral_ratio,f_var,sent_var,moral_vector_R5,cosine_gonye,cosine_pergel,cosine_yasa,cosine_gpy_sum_vector,delta_vector_discriminant
Gerald R. Ford,Nixon Pardon,61  - Proclamation 4311—Granting Pardon to Richard Nixon,1974-09-08,Written,0,5,0,4,"By the President of the United States of AmericaA Proclamation Richard Nixon became the thirty-seventh President of the United States on January 20, 1969 and was reelected in 1972 for a second term by the electors of forty-nine of the fifty states. His term in office continued until his resignation on August 9, 1974. Pursuant to resolutions of the House of Representatives, its Committee on the Judiciary conducted an inquiry and investigation on the impeachment of the President extending over more than eight months. The hearings of the Committee and its deliberations, which received wide national publicity over television, radio, and in printed media, resulted in votes adverse to Richard Nixon on recommended Articles of Impeachment. As a result of certain acts or omissions occurring before his resignation from the Office of President, Richard Nixon has become liable to possible indictment and trial for offenses against the United States.",5,149,0.06286458769826114,0.09833577533966764,0.07956422671720387,0.09635904672691985,0.06882924695037908,-0.0744369146925292,-0.06807051525061099,-0.009074308272311944,-0.03550640889124818,-0.07256704670096696,1.875,0.0002538324199221212,0.0008248274477602145,"[0.06286458769826114, 0.09833577533966764, 0.07956422671720387, 0.09635904672691985, 0.06882924695037908]",0.7231707940957043,0.8831676608577496,0.7879519078130822,0.9751694078468319,0.00434634634825189
Gerald R. Ford,Nixon Pardon,61  - Proclamation 4311—Granting Pardon to Richard Nixon,1974-09-08,Written,1,5,5,9,"Whether or not he shall be so prosecuted depends on findings of the appropriate grand jury and on the discretion of the authorized prosecutor. Should an indictment ensue, the accused shall then be entitled to a fair trial by an impartial jury, as guaranteed to every individual by the Constitution. It is believed that a trial of Richard Nixon, if it became necessary, could not fairly begin until a year or more has elapsed. In the meantime, the tranquility to which this nation has been restored by the events of recent weeks could be irreparably lost by the prospects of bringing to trial a former President of the United States. The prospects of such trial will cause prolonged and divisive debate over the propriety of exposing to further punishment and degradation a man who has already paid the unprecedented penalty of relinquishing the highest elective office of the United States.",5,150,0.09350895864802942,0.12820792173445725,0.08540912036413024,0.09601340037777772,0.0778873051071484,-0.2094362428336653,-0.015165658307625856,-0.056492591123695896,-0.015665712840671153,-0.044568378719969125,1.64,0.0003708953279115277,0.006553916092326518,"[0.09350895864802942, 0.12820792173445725, 0.08540912036413024, 0.09601340037777772, 0.0778873051071484]",0.8008286889424764,0.8722888790328501,0.703749729278023,0.968047821613153,0.005538952219226706
Gerald R. Ford,Nixon Pardon,61  - Proclamation 4311—Granting Pardon to Richard Nixon,1974-09-08,Written,2,5,10,14,"Now, Therefore, I, Gerald R. Ford, President of the United States, pursuant to the pardon power conferred upon me by Article II, Section 2, of the Constitution, have granted and by these presents do grant a full, free, and absolute pardon unto Richard Nixon for all offenses against the United States which he, Richard Nixon, has committed or may have committed or taken part in during the period from January 20, 1969 through August 9, 1974. In Witness Whereof, I have hereunto set my hand this eighth day of September, in the year of our Lord nineteen hundred and seventy-four, and of the Independence of the United States of America the one hundred and ninety-ninth. GERALD R. FORD",5,118,0.0933554737789829,0.11144731732709184,0.09258324703554177,0.10935907336935162,0.07419882487080436,-0.062495846250993865,0.07989142176430068,0.04524869029340185,0.12171951103406001,0.18083819234685186,0.8518518518518519,0.00022771630187016617,0.008294852390340484,"[0.0933554737789829, 0.11144731732709184, 0.09258324703554177, 0.10935907336935162, 0.07419882487080436]",0.7796818535698009,0.8594178264371086,0.7671541892685115,0.9798776170319996,0.0025540901091836155
